episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,19.940000000000044,500,0,5.08
1,29.530000000000044,500,0,4.04
2,30.160000000000046,500,0,4.686
3,22.620000000000047,500,0,6.212
4,17.210000000000036,500,0,4.468
5,27.730000000000047,500,0,4.198
6,38.020000000000046,500,0,4.97
7,22.250000000000043,500,0,5.056
8,31.20000000000005,500,0,3.718
9,21.070000000000036,500,0,4.084
10,27.930000000000042,500,0,5.434
11,36.47000000000004,500,0,3.884
12,35.240000000000045,500,0,4.744
13,23.250000000000046,500,0,3.638
14,31.110000000000046,500,0,4.436
15,25.090000000000046,500,0,5.172
