episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,26.59,500,0,6.016
1,33.68,500,0,6.034
2,29.44,500,0,3.874
3,27.71,500,0,4.144
4,25.08,500,0,7.48
5,25.65,500,0,7.652
6,26.02,500,0,6.856
7,35.91,500,0,6.808
8,38.19,178,0,3.719101
9,25.12,500,0,2.176
10,37.78,500,0,2.338
11,34.93,326,0,3.748466
12,37.74,404,0,5.584158
13,47.82,500,0,3.098
14,35.62,186,0,5.569892
15,35.02,178,0,4.314607
16,29.13,500,0,5.532
17,35.49,258,0,4.209302
18,34.77,194,0,5.659794
19,34.14,228,0,5.184211
