episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,26.590000000000042,500,0,6.016
1,34.570000000000036,500,0,4.434
2,36.48000000000005,500,0,4.26
3,37.46000000000004,500,0,3.466
4,35.590000000000046,500,0,4.656
5,39.68000000000003,453,0,5.293598233995585
6,50.04000000000004,453,0,3.684326710816777
7,40.160000000000025,326,0,5.539877300613497
8,41.640000000000036,455,0,3.573626373626374
9,42.51000000000003,449,0,3.9665924276169267
10,39.47000000000004,500,0,4.79
11,36.210000000000036,500,0,4.806
12,37.00000000000004,500,0,5.078
13,34.140000000000036,500,0,5.302
14,23.830000000000034,500,0,4.612
15,39.75000000000002,290,0,5.772413793103448
16,42.23000000000003,469,0,4.9424307036247335
17,5.6000000000000085,105,0,4.704761904761905
