global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
0,0,F,RIGHT,-0.21,"(0, 2)","(5, 1)",0,0,0
1,0,M,RIGHT,-0.21,"(0, 2)","(5, 2)",0,0,0
2,0,F,RIGHT,-0.19999999999999993,"(0, 3)","(5, 2)",0,0,0
3,0,M,WAIT,-0.029999999999999985,"(0, 3)","(5, 2)",0,0,0
4,0,F,WAIT,-0.01999999999999993,"(0, 3)","(5, 2)",0,0,0
5,0,M,WAIT,-0.029999999999999985,"(0, 3)","(5, 2)",0,0,0
6,0,F,LEFT,0.19000000000000003,"(0, 2)","(5, 2)",0,0,0
7,0,M,RIGHT,-0.19999999999999993,"(0, 2)","(5, 3)",0,0,0
8,0,F,WAIT,-0.029999999999999985,"(0, 2)","(5, 3)",0,0,0
9,0,M,RIGHT,-0.18999999999999997,"(0, 2)","(5, 4)",0,0,0
10,0,F,DOWN,-0.19999999999999993,"(1, 2)","(5, 4)",0,0,0
11,0,M,WAIT,-0.009999999999999967,"(1, 2)","(5, 4)",0,0,0
12,0,F,WAIT,-0.01999999999999993,"(1, 2)","(5, 4)",0,0,0
13,0,M,WAIT,-0.009999999999999967,"(1, 2)","(5, 4)",0,0,0
14,0,F,UP,0.19000000000000003,"(0, 2)","(5, 4)",0,0,0
15,0,M,LEFT,0.2000000000000001,"(0, 2)","(5, 3)",0,0,0
16,0,F,RIGHT,-0.19999999999999993,"(0, 3)","(5, 3)",0,0,0
17,0,M,WAIT,-0.01999999999999993,"(0, 3)","(5, 3)",0,0,0
18,0,F,DOWN,-0.18999999999999997,"(1, 3)","(5, 3)",0,0,0
19,0,M,UP,-0.18999999999999997,"(1, 3)","(4, 3)",0,0,0
20,0,F,UP,0.2000000000000001,"(0, 3)","(4, 3)",0,0,0
21,0,M,LEFT,0.2000000000000001,"(0, 3)","(4, 2)",0,0,0
22,0,F,DOWN,-0.18999999999999997,"(1, 3)","(4, 2)",0,0,0
23,0,M,UP,-0.18999999999999997,"(1, 3)","(3, 2)",0,0,0
24,0,F,RIGHT,-0.18000000000000002,"(1, 4)","(3, 2)",0,0,0
25,0,M,LEFT,0.2000000000000001,"(1, 4)","(3, 1)",0,0,0
