episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,36.130000000000045,500,0,3.77
1,36.58000000000004,500,0,4.976
2,36.38000000000004,500,0,4.994
3,40.74000000000003,395,0,5.7316455696202535
4,43.87000000000003,422,0,4.931279620853081
5,37.130000000000024,385,0,5.077922077922078
6,39.850000000000044,500,0,4.58
7,37.33000000000003,416,0,4.850961538461538
8,38.01000000000002,361,0,5.257617728531856
9,41.520000000000024,378,0,3.9074074074074074
10,32.03000000000003,500,0,4.636
11,44.070000000000036,486,0,5.689300411522634
12,34.260000000000005,133,0,5.947368421052632
13,29.05000000000003,500,0,4.52
14,36.80000000000002,270,0,3.8740740740740742
15,30.72000000000003,500,0,3.178
16,31.260000000000044,500,0,4.494
17,35.370000000000026,472,0,5.970338983050848
18,25.620000000000022,282,0,3.7056737588652484
