episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,34.24000000000005,500,0,4.7
1,29.94000000000004,500,0,4.83
2,32.66000000000003,500,0,4.92
3,31.710000000000036,500,0,5.306
4,34.37000000000004,500,0,5.752
5,43.570000000000036,442,0,4.090497737556561
6,31.81000000000003,500,0,4.172
7,39.08000000000002,325,0,4.812307692307693
8,39.29000000000003,361,0,3.709141274238227
9,34.70000000000002,340,0,4.735294117647059
10,38.850000000000044,500,0,5.022
11,34.63000000000004,500,0,5.554
12,27.10000000000004,500,0,5.542
13,40.06000000000003,471,0,4.43312101910828
14,40.64000000000003,356,0,3.75561797752809
15,30.38000000000003,500,0,3.342
16,35.98000000000004,500,0,4.816
17,24.340000000000014,205,0,5.780487804878049
